title,author,length
1. Atomic Habits,Written by: James Clear,Length: 5 hrs and 35 mins
2. The Psychology of Money,Written by: Morgan Housel,Length: 5 hrs and 48 mins
3. Rich Dad Poor Dad,Written by: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
4. How to Talk to Anyone,Written by: Leil Lowndes,Length: 8 hrs and 59 mins
5. Ikigai,"Written by: Héctor García, Francesc Miralles",Length: 3 hrs and 23 mins
6. The Subtle Art of Not Giving a F*ck,Written by: Mark Manson,Length: 5 hrs and 17 mins
7. Life's Amazing Secrets,Written by: Gaur Gopal Das,Length: 6 hrs and 25 mins
8. Sapiens,Written by: Yuval Noah Harari,Length: 15 hrs and 18 mins
9. Hyperfocus,Written by: Chris Bailey,Length: 6 hrs and 39 mins
10. The Courage to Be Disliked ,"Written by: Fumitake Koga, Ichiro Kishimi",Length: 6 hrs and 50 mins
"11. Thinking, Fast and Slow",Written by: Daniel Kahneman,Length: 20 hrs and 1 min
12. Can't Hurt Me,Written by: David Goggins,Length: 13 hrs and 37 mins
13. The Almanack of Naval Ravikant,"Written by: Eric Jorgenson, Tim Ferriss",Length: 4 hrs and 53 mins
14. Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings,Written by: Thibaut Meurisse,Length: 3 hrs and 54 mins
15. Meditations,Written by: Audible Sleep,Length: Not Yet Known
16. The Intelligent Investor Rev Ed.,Written by: Benjamin Graham,Length: 17 hrs and 48 mins
17. The Sandman,"Written by: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 2 mins
18. How to Win Friends and Influence People,Written by: Dale Carnegie,Length: 8 hrs and 5 mins
19. Never Split the Difference,"Written by: Chris Voss, Tahl Raz",Length: 8 hrs and 7 mins
20. Tools of Titans,Written by: Tim Ferriss,Length: 22 hrs and 41 mins
21. The Alchemist,Written by: Paulo Coelho,Length: 4 hrs
22. Eat That Frog!,Written by: Brian Tracy,Length: 2 hrs and 37 mins
23. The Power of Habit,Written by: Charles Duhigg,Length: 10 hrs and 53 mins
24. Zero to One,"Written by: Peter Thiel, Blake Masters",Length: 4 hrs and 50 mins
25. The 5 AM Club,Written by: Robin Sharma,Length: 11 hrs and 4 mins
26. Bedtime Stories,Written by: Audible Sleep,Length: Not Yet Known
27. Autobiography of a Yogi,Written by: Paramahansa Yogananda,Length: 17 hrs and 50 mins
"28. Harry Potter and the Philosopher's Stone, Book 1",Written by: J.K. Rowling,Length: 9 hrs and 33 mins
29. Rich Dad Poor Dad: 20th Anniversary Edition,Written by: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
30. Karma: A Yogi’s Guide to Crafting Your Own Destiny,"Written by: Sadhguru, Leslie Howard",Length: 8 hrs and 56 mins
31. Start with Why,Written by: Simon Sinek,Length: 7 hrs and 18 mins
